Date,Label,Orientation,Bud type,Diameter,centrale_present
2024-04-24,1,east,apical annual,7.6,x
2024-04-24,1,east,apical annual,7.6,x
2024-04-24,1,east,apical annual,8.3,x
2024-04-24,1,east,apical annual,7.2,x
2024-04-24,1,east,apical annual,8.5,x
2024-04-24,1,east,apical annual,7.2,x
2024-04-24,2,east,lateral annual,4.3,x
2024-04-24,2,east,lateral annual,4,x
2024-04-24,2,east,lateral annual,3.9,x
2024-04-24,2,east,lateral annual,3.8,x
2024-04-24,2,east,lateral annual,4,x
2024-04-24,3,east,pluriennial,12.3,x
2024-04-24,3,east,pluriennial,8.9,x
2024-04-24,3,east,pluriennial,11.2,x
2024-04-24,3,east,pluriennial,3.3,x
2024-04-24,3,east,pluriennial,8.3,x
2024-04-24,3,east,pluriennial,3.3,x
2024-04-24,4,east,apical annual,2.4,
2024-04-24,4,east,apical annual,5.3,
2024-04-24,4,east,apical annual,7,
2024-04-24,4,east,apical annual,6.5,
2024-04-24,5,east,lateral annual,7,x
2024-04-24,5,east,lateral annual,6.3,x
2024-04-24,5,east,lateral annual,6.2,x
2024-04-24,5,east,lateral annual,5,x
2024-04-24,5,east,lateral annual,5.4,x
2024-04-24,6,east,pluriennial,8.8,x
2024-04-24,6,east,pluriennial,7.1,x
2024-04-24,6,east,pluriennial,7.9,x
2024-04-24,6,east,pluriennial,8.3,x
2024-04-24,6,east,pluriennial,7.7,x
2024-04-24,7,east,apical annual,8.5,x
2024-04-24,7,east,apical annual,8.4,x
2024-04-24,7,east,apical annual,7.9,x
2024-04-24,7,east,apical annual,7.9,x
2024-04-24,7,east,apical annual,7.5,x
2024-04-24,7,east,apical annual,8.5,x
2024-04-24,8,east,lateral annual,6,x
2024-04-24,8,east,lateral annual,3,x
2024-04-24,8,east,lateral annual,5.4,x
2024-04-24,8,east,lateral annual,4,x
2024-04-24,8,east,lateral annual,5.5,x
2024-04-24,8,east,lateral annual,4.7,x
2024-04-24,9,east,pluriennial,10.2,x
2024-04-24,9,east,pluriennial,8.4,x
2024-04-24,9,east,pluriennial,9,x
2024-04-24,9,east,pluriennial,6.2,x
2024-04-24,9,east,pluriennial,2.9,x
2024-04-24,10,east,apical annual,7.1,
2024-04-24,10,east,apical annual,7.2,
2024-04-24,10,east,apical annual,7.6,
2024-04-24,10,east,apical annual,6.7,
2024-04-24,11,east,lateral annual,6.7,x
2024-04-24,11,east,lateral annual,6.7,x
2024-04-24,11,east,lateral annual,6.8,x
2024-04-24,11,east,lateral annual,6.9,x
2024-04-24,12,east,pluriennial,7.3,x
2024-04-24,12,east,pluriennial,8.8,x
2024-04-24,12,east,pluriennial,7.4,x
2024-04-24,12,east,pluriennial,8.1,x
2024-04-24,12,east,pluriennial,8.3,x
2024-04-24,13,east,apical annual,7,x
2024-04-24,13,east,apical annual,7.4,x
2024-04-24,13,east,apical annual,7.5,x
2024-04-24,13,east,apical annual,6.3,x
2024-04-24,13,east,apical annual,7.3,x
2024-04-24,13,east,apical annual,7.2,x
2024-04-24,14,east,lateral annual,5.2,x
2024-04-24,14,east,lateral annual,5.2,x
2024-04-24,14,east,lateral annual,4.9,x
2024-04-24,14,east,lateral annual,4.4,x
2024-04-24,15,east,pluriennial,7.1,x
2024-04-24,15,east,pluriennial,7.1,x
2024-04-24,15,east,pluriennial,6.5,x
2024-04-24,15,east,pluriennial,5.4,x
2024-04-24,15,east,pluriennial,5.5,x
2024-04-24,16,west,apical annual,9.1,x
2024-04-24,16,west,apical annual,9,x
2024-04-24,16,west,apical annual,7.7,x
2024-04-24,16,west,apical annual,8.2,x
2024-04-24,16,west,apical annual,8.3,x
2024-04-24,16,west,apical annual,8.7,x
2024-04-24,17,west,lateral annual,3.4,x
